FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,Has_HTTPS,URL_Length
521848.txt,https://www.southbankmosaics.com,31,www.southbankmosaics.com,24,0,com,100,1,0.5229071,0.061933179,3,1,0,0,0,18,0.581,0,0,0,0,0,1,0.032,1,558,9381,1,à¸‚à¹ˆà¸²à¸§à¸ªà¸” à¸‚à¹ˆà¸²à¸§à¸§à¸±à¸™à¸™à¸µà¹‰ à¸‚à¹ˆà¸²à¸§à¸à¸µà¸¬à¸² à¸‚à¹ˆà¸²à¸§à¸šà¸±à¸™à¹€à¸—à¸´à¸‡ à¸­à¸±à¸žà¹€à¸”à¸—à¸ªà¸”à¹ƒà¸«à¸¡à¹ˆà¸—à¸¸à¸à¸§à¸±à¸™ &#8211; à¸‚à¹ˆà¸²à¸§à¸ªà¸” à¸‚à¹ˆà¸²à¸§à¸à¸µà¸¬à¸² à¸‚à¹ˆà¸²à¸§à¸šà¸±à¸™à¹€à¸—à¸´à¸‡ à¸‚à¹ˆà¸²à¸§à¸§à¸±à¸™à¸™à¸µà¹‰ à¸­à¸±à¸›à¹€à¸”à¸•à¸‚à¹ˆà¸²à¸§à¸ªà¸²à¸£à¸£à¸§à¸”à¹€à¸£à¹‡à¸§à¸—à¸±à¸™à¹ƒà¸ˆ à¸žà¸£à¹‰à¸­à¸¡à¸£à¸±à¸šà¸Šà¸¡à¸ªà¸²à¸£à¸°à¸™à¹ˆà¸²à¸£à¸¹à¹‰à¸•à¹ˆà¸²à¸‡à¹† à¹„à¸”à¹‰à¸Ÿà¸£à¸µà¸•à¸¥à¸­à¸” 24à¸Šà¸±à¹ˆà¸§à¹‚à¸¡à¸‡,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,34,20,28,119,0,124,1,1,0.003113648
31372.txt,https://www.uni-mainz.de,23,www.uni-mainz.de,16,0,de,100,0.666666667,0.0326503,0.050207214,2,1,0,0,0,9,0.391,0,0,0,0,0,2,0.087,1,618,9381,1,johannes gutenberg-universitÃ¤t mainz,55.55555556,55.55555556,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,50,9,8,39,0,217,1,1,0.001729805
597387.txt,https://www.voicefmradio.co.uk,29,www.voicefmradio.co.uk,22,0,uk,100,0.866666667,0.028555,0.06412872,2,2,0,0,0,15,0.517,0,0,0,0,0,2,0.069,1,467,682,1,voice fm southampton,46.66666667,46.66666667,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,10,2,7,42,2,5,1,1,0.002767687
554095.txt,https://www.sfnmjournal.com,26,www.sfnmjournal.com,19,0,com,100,1,0.5229071,0.057605756,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,6356,26824,1,home page: seminars in fetal and neonatal medicine ,0,0,0,1,1,0,0,0,1,12,0,1,1,1,0,0,1,1,1,3,27,15,22,1,31,1,1,0.002248746
151578.txt,https://www.rewildingargentina.org,33,www.rewildingargentina.org,26,0,org,100,1,0.0799628,0.059441389,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,6089,28404,1,fundaciÃ³n rewilding argentina,100,100,0,1,1,1,1,1,0,2,0,1,1,1,0,1,1,0,1,244,15,34,72,1,85,1,1,0.003459609
23107.txt,https://www.globalreporting.org,30,www.globalreporting.org,23,0,org,100,1,0.0799628,0.060614474,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,1210,737,1,gri - home,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,35,1,11,86,0,14,1,1,0.002940668
23034.txt,https://www.saffronart.com,25,www.saffronart.com,18,0,com,100,1,0.5229071,0.063549404,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,1024,984,1,0,0,0,1,0,1,1,1,0,2,4,0,1,0,1,0,0,0,0,1,32,4,14,44,2,17,1,1,0.002075765
696732.txt,https://www.nerdscandy.com,25,www.nerdscandy.com,18,0,com,100,1,0.5229071,0.0604856,3,1,0,0,0,12,0.48,0,0,0,0,0,1,0.04,1,514,399,1,nerds candy,100,100,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,24,2,22,36,0,15,1,1,0.002075765
739255.txt,https://www.hyderabadonline.in,29,www.hyderabadonline.in,22,0,in,100,1,0.0050842,0.056980442,2,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,2371,12913,1,"hyderabadonline - business listing in hyderabad, hyderabad news, the fort of golconda, travel guide",100,100,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,71,4,9,40,1,317,1,1,0.002767687
14486.txt,https://www.aap.org,18,www.aap.org,11,0,org,100,1,0.0799628,0.070497453,3,1,0,0,0,5,0.278,0,0,0,0,0,1,0.056,1,2730,481,1,home,0,0,1,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,10,1,12,173,6,65,1,1,0.000864902
167350.txt,https://www.religionenlibertad.com,33,www.religionenlibertad.com,26,0,com,100,1,0.5229071,0.063946492,3,1,0,0,0,20,0.606,0,0,0,0,0,1,0.03,1,2616,584,1,religiÃ³n en libertad | noticias de religiÃ³n,55.55555556,55.55555556,1,1,1,0,0,1,0,5,0,1,1,0,0,0,1,0,1,80,13,10,376,1,9,1,1,0.003459609
mw42508.txt,http://www.teramill.com,22,www.teramill.com,16,0,com,82.6446281,1,0.5229071,0.06741797,3,1,0,0,0,10,0.455,0,0,0,0,0,1,0.045,0,2,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.001556824
515489.txt,https://www.socialpolicy.org,27,www.socialpolicy.org,20,0,org,100,1,0.0799628,0.064491134,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1043,1037,1,social policy: organizing for social and economic justice,50,50,1,0,0,0,0,1,12,1,0,0,1,1,1,1,0,0,1,16,9,13,92,1,18,1,1,0.002421726
858208.txt,https://www.aoh61.com,20,www.aoh61.com,13,0,com,100,1,0.5229071,0.055131169,3,1,0,0,0,5,0.25,2,0.1,0,0,0,1,0.05,1,5966,22382,1,0,0,0,1,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,16,4,7,4,0,14,1,1,0.001210863
712305.txt,https://www.bulgariaski.com,26,www.bulgariaski.com,19,0,com,100,1,0.5229071,0.055714659,3,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,2639,1574,1,bulgaria ski - bulgarian ski resorts and holiday bookings.,100,100,1,1,1,0,0,0,0,2,0,1,1,1,0,0,1,0,1,63,12,22,156,2,184,1,1,0.002248746
252332.txt,https://www.brightika.com,24,www.brightika.com,17,0,com,100,1,0.5229071,0.053754992,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,5509,550,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,14,19,2,1,14,1,1,0.001902785
862789.txt,https://www.motley.ie,20,www.motley.ie,13,0,ie,100,1,0.0015878,0.061203697,2,1,0,0,0,7,0.35,0,0,0,0,0,1,0.05,1,2839,8047,1,home | motley,100,100,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,56,10,16,235,0,254,1,1,0.001210863
561324.txt,https://www.funzine.hu,21,www.funzine.hu,14,0,hu,100,1,0.0022172,0.042916591,2,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,1576,1907,1,funzine,100,100,0,1,1,0,0,1,0,2,0,1,1,1,0,1,0,0,1,52,10,27,0,1,143,1,1,0.001383844
791831.txt,https://www.dixxon.com,21,www.dixxon.com,14,0,com,100,1,0.5229071,0.054492147,3,1,0,0,0,8,0.381,0,0,0,0,0,1,0.048,1,5004,13844,1,facebook,0,0,1,0,1,0,0,1,0,21,0,1,1,1,1,1,1,0,1,259,14,33,168,1,90,1,1,0.001383844
861208.txt,https://www.ooty.ind.in,22,www.ooty.ind.in,15,0,in,100,0.625,0.0050842,0.060958413,2,2,0,0,0,8,0.364,0,0,0,0,0,2,0.091,1,719,1842,1,best places to visit in ooty tamil nadu ootacamund,80,80,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,21,0,2,2,0,1,1,1,0.001556824
mw16985.txt,http://www.f0519141.xsph.ru,26,www.f0519141.xsph.ru,20,0,ru,55.28492647,0.923076923,0.0180132,0.015061052,2,2,0,0,0,6,0.231,7,0.269,0,0,0,2,0.077,0,9,44,1,400 bad request,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002248746
mw131249.txt,http://www.shprakserf.gq,24,www.shprakserf.gq,17,0,gq,56.55114117,1,5.30E-05,0.042982074,2,1,0,0,0,12,0.5,0,0,0,0,0,1,0.042,0,20,211,1,shprakserf.gq,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001729805
6569.txt,https://www.cryptocompare.com,28,www.cryptocompare.com,21,0,com,100,1,0.5229071,0.066744309,3,1,0,0,0,15,0.536,0,0,0,0,0,1,0.036,1,2412,17815,1,"cryptocurrency prices, portfolio, forum, rankings | cryptocompare.com",0,0,1,0,1,0,0,1,0,2,0,1,0,1,0,1,1,1,1,49,2,4,111,2,39,1,1,0.002594707
394270.txt,https://www.diariodealmeria.es,29,www.diariodealmeria.es,22,0,es,100,1,0.0064109,0.068406052,2,1,0,0,0,16,0.552,0,0,0,0,0,1,0.034,1,11406,467,1,diario de almeria - diario de almerÃ­a,100,100,0,1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,1,217,4,10,609,12,93,1,1,0.002767687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
